,action,episode,reward,reward_jam,reward_waiting,step,time,total_reward
0,"[0, 1, 1, 0, 0, 0, 0, 1, 0]",0,"[0.0, 0.0, 0.0, 0.0, -1.0, -1.1, 0.0, -2.2, 0.0]","[0, 0, 0, 0, -1, -1, 0, -2, 0]","[-0.0, -0.0, -0.0, -0.0, -0.0, -1.0, -0.0, -2.0, -0.0]",1.0,5,-4.300000000000001
1,"[1, 1, 1, 0, 1, 0, 0, 1, 1]",0,"[0.0, -9.8, -1.2, -2.1, -8.2, -1.6, -1.0, -4.3, 0.0]","[0, -8, -1, -2, -7, -1, -1, -3, 0]","[-0.0, -18.0, -2.0, -1.0, -12.0, -6.0, -0.0, -13.0, -0.0]",2.0,10,-28.2
2,"[0, 0, 1, 1, 1, 0, 0, 1, 1]",0,"[-5.8, -14.4, -2.7, 0.0, -7.3, -4.2, -2.7, -10.1, -2.4]","[-5, -10, -2, 0, -6, -3, -2, -7, -2]","[-8.0, -44.0, -7.0, -0.0, -13.0, -12.0, -7.0, -31.0, -4.0]",3.0,15,-49.6
3,"[0, 0, 0, 0, 0, 0, 1, 1, 0]",0,"[-15.7, -18.8, -4.7, -2.4, -10.1, -10.2, 0.0, -5.6, -9.7]","[-12, -11, -3, -2, -7, -7, 0, -4, -8]","[-37.0, -78.0, -17.0, -4.0, -31.0, -32.0, -0.0, -16.0, -17.0]",4.0,20,-77.2
4,"[0, 1, 1, 0, 0, 1, 0, 1, 1]",0,"[-19.7, -15.100000000000001, -4.9, -4.9, -17.2, -20.3, -1.3, -6.7, -4.7]","[-12, -9, -4, -4, -11, -13, -1, -6, -4]","[-77.0, -61.0, -9.0, -9.0, -62.0, -73.0, -3.0, -7.0, -7.0]",5.0,25,-94.8
5,"[1, 0, 0, 1, 0, 1, 0, 1, 0]",0,"[-22.0, -4.8, -8.7, -8.2, -23.8, -15.3, -3.2, -11.9, -3.2]","[-14, -3, -6, -6, -13, -11, -2, -8, -2]","[-80.0, -18.0, -27.0, -22.0, -108.0, -43.0, -12.0, -39.0, -12.0]",6.0,30,-101.10000000000001
6,"[1, 0, 1, 1, 0, 0, 1, 1, 1]",0,"[-15.4, -8.6, -14.7, -12.4, -30.2, -10.4, -4.2, -19.6, -11.7]","[-10, -5, -9, -11, -14, -7, -2, -11, -9]","[-54.0, -36.0, -57.0, -14.0, -162.0, -34.0, -22.0, -86.0, -27.0]",7.0,35,-127.2
7,"[0, 1, 0, 1, 0, 1, 0, 1, 1]",0,"[-15.100000000000001, -15.2, -21.0, -16.2, -35.7, -6.3, -6.5, -12.8, -13.8]","[-9, -10, -11, -13, -14, -5, -3, -8, -10]","[-61.0, -52.0, -100.0, -32.0, -217.0, -13.0, -35.0, -48.0, -38.0]",8.0,40,-142.60000000000002
8,"[1, 1, 1, 0, 1, 0, 1, 0, 0]",0,"[-17.1, -2.6, -19.6, -30.1, -19.8, -10.2, -9.0, -5.1, -18.6]","[-11, -2, -11, -22, -8, -6, -4, -3, -11]","[-61.0, -6.0, -86.0, -81.0, -118.0, -42.0, -50.0, -21.0, -76.0]",9.0,45,-132.1
9,"[1, 1, 0, 1, 1, 0, 1, 0, 0]",0,"[-21.4, -13.5, -18.6, -27.7, -14.2, -13.2, -3.3, -6.1, -23.700000000000003]","[-12, -11, -9, -20, -9, -6, -2, -3, -12]","[-94.0, -25.0, -96.0, -77.0, -52.0, -72.0, -13.0, -31.0, -117.0]",10.0,50,-141.7
